"N2_PPM","N2O3_PPM","N2O4_PPM","N2O5_PPM","NO2_PPM","NO3_PPM","NO_PPM","O2_PPM","O3_PPM","O_PPM","Phi","T","U:0","U:1","U:2","vtkGhostType","Points:0","Points:1","Points:2"
789946,5.94232e-07,0.0131719,15.58,204.769,0.0481943,0.094474,209662,171.479,0.000316534,2.38938,344.524,-0.613678,-0.0403564,0.242679,0,-0.13,-0.0169986,-1.54923e-19
789946,5.94024e-07,0.013168,15.5782,204.738,0.048203,0.0944548,209662,171.587,0.000316737,2.38751,344.524,-0.598735,-0.0207948,0.261168,0,-0.1295,-0.0169986,-1.54923e-19
789946,5.94856e-07,0.0131795,15.5335,204.825,0.04809,0.0945456,209662,171.649,0.000316839,2.38766,344.524,-0.562786,-0.0197711,0.255784,0,-0.129,-0.0169986,-1.54923e-19
789945,5.95707e-07,0.0131914,15.4855,204.915,0.04797,0.0946377,209662,171.727,0.000316971,2.38762,344.523,-0.551568,-0.0133139,0.260508,0,-0.128499,-0.0169986,-1.54923e-19
789945,5.96525e-07,0.0132028,15.4416,205.002,0.0478589,0.0947264,209662,171.785,0.000317066,2.38783,344.523,-0.543195,-0.00976047,0.256902,0,-0.127999,-0.0169986,-1.54923e-19
789945,5.97344e-07,0.0132142,15.3982,205.088,0.0477487,0.0948153,209662,171.84,0.000317155,2.38807,344.523,-0.537448,-0.00834381,0.253156,0,-0.127499,-0.0169986,-1.54923e-19
789945,5.98093e-07,0.0132247,15.3591,205.168,0.047649,0.0948964,209662,171.885,0.000317227,2.38838,344.522,-0.535344,-0.00951828,0.248644,0,-0.126999,-0.0169986,-1.54923e-19
789945,5.98758e-07,0.013234,15.3254,205.238,0.0475622,0.0949683,209662,171.917,0.000317277,2.38875,344.522,-0.536019,-0.00983125,0.242442,0,-0.126498,-0.0169986,-1.54923e-19
789945,5.99324e-07,0.013242,15.2979,205.299,0.0474901,0.0950292,209662,171.933,0.000317299,2.38923,344.522,-0.542412,-0.00965125,0.2355,0,-0.125998,-0.0169986,-1.54923e-19
789945,5.99901e-07,0.0132503,15.2736,205.363,0.0474229,0.0950908,209662,171.919,0.000317264,2.39017,344.522,-0.552264,-0.0092079,0.224882,0,-0.125498,-0.0169986,-1.54923e-19
789945,6.00449e-07,0.0132582,15.25,205.423,0.0473582,0.0951493,209662,171.909,0.000317237,2.39102,344.522,-0.565642,-0.00906578,0.217139,0,-0.124998,-0.0169986,-1.54923e-19
789945,6.01131e-07,0.0132681,15.227,205.5,0.0472882,0.0952216,209662,171.845,0.000317109,2.39281,344.521,-0.578542,-0.00951294,0.203021,0,-0.124497,-0.0169986,-1.54923e-19
789945,6.01769e-07,0.0132776,15.2057,205.573,0.0472228,0.0952887,209662,171.779,0.000316979,2.39457,344.521,-0.593465,-0.0129379,0.191738,0,-0.123997,-0.0169986,-1.54923e-19
789945,6.02569e-07,0.0132894,15.1815,205.665,0.0471455,0.0953731,209662,171.68,0.000316786,2.39701,344.522,-0.601268,-0.0178577,0.176881,0,-0.123497,-0.0169986,-1.54923e-19
789945,6.0342e-07,0.013302,15.1585,205.763,0.0470679,0.0954626,209662,171.552,0.000316536,2.39996,344.522,-0.601094,-0.0249983,0.160929,0,-0.122997,-0.0169986,-1.54923e-19
789946,6.04258e-07,0.0133144,15.1355,205.859,0.0469909,0.0955508,209662,171.43,0.000316299,2.40279,344.522,-0.593344,-0.0326043,0.146449,0,-0.122496,-0.0169986,-1.54923e-19
789946,6.05035e-07,0.0133259,15.1138,205.948,0.0469189,0.0956323,209662,171.318,0.000316083,2.4054,344.522,-0.578777,-0.038346,0.133624,0,-0.121996,-0.0169986,-1.54923e-19
789946,6.05733e-07,0.0133361,15.0911,206.028,0.046849,0.0957058,209662,171.245,0.000315937,2.40736,344.522,-0.559853,-0.0412957,0.123067,0,-0.121496,-0.0169986,-1.54923e-19
789946,6.06346e-07,0.0133451,15.0682,206.097,0.0467826,0.0957703,209662,171.204,0.000315852,2.40875,344.522,-0.538111,-0.0432167,0.115358,0,-0.120996,-0.0169986,-1.54923e-19
789946,6.06954e-07,0.0133537,15.0395,206.162,0.0467074,0.0958354,209662,171.216,0.000315866,2.40933,344.522,-0.514648,-0.0431246,0.110907,0,-0.120496,-0.0169986,-1.54923e-19
789946,6.07656e-07,0.013363,15.0011,206.232,0.0466136,0.0959126,209662,171.285,0.000315983,2.40919,344.521,-0.484701,-0.0409622,0.108708,0,-0.119995,-0.0169986,-1.54923e-19
789946,6.08348e-07,0.013372,14.9574,206.299,0.0465115,0.0959891,209662,171.4,0.000316186,2.40834,344.521,-0.463748,-0.0362422,0.110579,0,-0.119495,-0.0169986,-1.54923e-19
789945,6.09291e-07,0.0133838,14.9006,206.386,0.0463788,0.0960953,209662,171.55,0.00031645,2.40727,344.52,-0.438977,-0.0309736,0.114082,0,-0.118995,-0.0169986,-1.54923e-19
789945,6.10318e-07,0.0133963,14.8375,206.479,0.0462333,0.0962117,209661,171.728,0.000316766,2.40584,344.52,-0.416154,-0.0239987,0.120745,0,-0.118495,-0.0169986,-1.54923e-19
789945,6.11383e-07,0.0134091,14.7742,206.575,0.0460864,0.096333,209661,171.901,0.000317071,2.40453,344.519,-0.395442,-0.0185844,0.128359,0,-0.117994,-0.0169986,-1.54923e-19
789945,6.12508e-07,0.0134226,14.7087,206.674,0.0459343,0.0964614,209661,172.076,0.000317378,2.40326,344.518,-0.375623,-0.0125095,0.137764,0,-0.117494,-0.0169986,-1.54923e-19
789945,6.13736e-07,0.0134372,14.6412,206.783,0.0457755,0.0966017,209661,172.239,0.000317664,2.40224,344.518,-0.358858,-0.00729814,0.146898,0,-0.116994,-0.0169986,-1.54923e-19
